lecture_id,r_id,degree
35,19,0.1072829514
35,51,0.09696276069
35,64,0.09011617863
35,600,0.09011617863
35,416,0.08306642495
35,651,0.08060047404
35,420,0.0794477633
36,188,0.6362469934
36,225,0.6362469934
36,704,0.3679245742
36,489,0.3099435745
36,693,0.175184089
36,95,0.1643603181
36,92,0.1641468
36,646,0.1606093653
36,617,0.1261382727
37,718,0.3806054442
37,400,0.3609016229
37,366,0.3449898447
37,159,0.3247824492
37,501,0.3167879832
37,559,0.2733270453
37,112,0.2463476189
37,140,0.2463476189
37,444,0.1960094803
38,344,0.164593875
38,530,0.1443101021
38,347,0.1400740909
38,567,0.1302795444
38,123,0.123474735
38,404,0.123474735
38,641,0.123474735
38,34,0.1115972565
38,362,0.1115972565
39,715,0.3370774186
39,512,0.3328386946
39,179,0.222735799
39,713,0.2124585405
39,310,0.1755791654
39,574,0.09889683568
39,621,0.09268642868
39,382,0.09238091415
39,693,0.08970098226
40,547,0.2924650359
40,88,0.204360146
40,436,0.2038422441
40,30,0.1902563008
40,654,0.1829636662
40,177,0.1776378004
40,19,0.1746737827
40,201,0.1594648699
40,52,0.1581809751
41,531,0.5178106004
41,331,0.2252046657
41,597,0.2252046657
41,110,0.2194061876
41,432,0.2194061876
41,228,0.2144912825
41,17,0.1777986861
41,193,0.1696340757
41,694,0.165559835
42,694,0.3451072268
42,501,0.2261343218
42,707,0.2011177091
42,275,0.1965083136
42,681,0.1795284066
42,544,0.178262709
42,559,0.1741740702
42,502,0.1702972086
42,517,0.150128779
43,171,0.2215291559
43,582,0.1949050289
43,164,0.1898173697
43,639,0.187024095
43,379,0.1758811476
43,11,0.1722530899
43,738,0.1698268408
43,528,0.1677742391
43,476,0.1646033926
44,54,0.09558042686
44,381,0.07690715895
44,745,0.07690715895
44,430,0.07540853126
44,434,0.07041892758
44,599,0.06681568445
44,687,0.06632793387
44,93,0.06559653996
44,491,0.06559653996
45,725,0.1525483523
45,419,0.1392349087
45,69,0.1325964245
45,552,0.1325964245
45,537,0.1289336199
45,391,0.1185615739
45,581,0.1184022136
45,741,0.1184022136
45,536,0.1174979716
46,406,0.5068632082
46,506,0.5068632082
46,132,0.4056265339
46,418,0.2083687839
46,680,0.2062754616
46,308,0.1815464728
46,304,0.1779822329
46,240,0.1733256841
46,532,0.1703122805
47,26,0.1862768204
47,168,0.1781507914
47,560,0.1704575892
47,623,0.1471517848
47,581,0.1470913702
47,741,0.1470913702
47,577,0.1449635981
47,181,0.1402868927
47,487,0.1402868927
48,755,0.8701028485
48,81,0.8647598066
48,184,0.8402673813
48,661,0.8302807057
48,456,0.7994675488
48,573,0.3474845802
48,616,0.3474845802
48,538,0.3054833111
48,426,0.2886333916
49,436,0.4954587985
49,682,0.2887311356
49,201,0.2648156463
49,186,0.2445967285
49,364,0.2445967285
49,547,0.2170289565
49,760,0.2002994127
49,397,0.1994197029
49,654,0.1970001985
50,128,0.3082857459
